user_id,y,support,occurrences_left
31749,16953,5.0,0.0
72712,31506,72.0,-7.0
72712,5077,23.0,0.5
72712,7751,17.0,-5.5
72712,18441,5.0,-0.5
72712,35898,10.0,-1.0
9226,20955,5.0,0.0
146470,4210,197.0,-20.0
146470,24852,91.0,-21.5
146470,23909,160.0,-4.0
146470,21333,25.0,-2.5
146470,23734,102.0,-7.0
146470,40310,28.0,-1.5
146470,16953,4.0,0.0
146470,5450,20.0,-10.0
146470,28204,25.0,-5.0
146470,44799,39.0,-7.0
146470,31343,3.0,-1.0
88100,27845,25.0,0.5
88100,7751,26.0,-1.5
88100,5479,6.0,0.0
88100,33000,2.0,0.5
88100,7948,8.0,-2.0
88100,32655,8.0,0.0
88100,42736,18.0,2.0
88100,21137,10.0,-1.5
88100,43122,7.0,0.0
88100,31506,2.0,0.5
88100,27156,42.0,-2.5
88100,5876,17.0,0.5
88100,8021,6.0,0.5
174117,7948,5.0,0.0
174117,27086,7.0,0.0
70702,42356,4.0,-1.0
70702,34969,4.0,0.0
70702,6046,3.0,0.0
70702,31343,6.0,-1.0
8247,35042,11.0,0.0
8247,4210,7.0,0.0
8247,24852,4.0,0.0
8247,5782,9.0,0.5
8247,15290,7.0,0.0
8247,4605,14.0,0.0
8247,33198,7.0,-2.0
177222,33120,6.0,0.0
48207,16953,14.0,0.0
147541,35898,5.0,0.0
147541,46842,4.0,0.0
2153,1463,3.0,0.0
115820,16696,8.0,0.0
31859,38928,2.0,0.5
31859,21137,9.0,0.0
31859,890,2.0,0.5
158841,20955,2.0,0.5
158841,32478,52.0,0.5
194685,10673,8.0,0.0
69773,17600,2.0,0.5
69773,16953,3.0,0.0
167053,22963,4.0,0.0
167053,22035,8.0,-1.5
167053,5077,3.0,-1.0
167053,40174,2.0,0.5
117916,13249,7.0,0.0
117916,10673,6.0,0.0
117916,44799,21.0,0.0
111783,28993,3.0,0.0
70827,24852,6.0,0.0
70827,20955,5.0,-1.0
44222,27796,10.0,0.0
44222,24852,4.0,0.0
44222,7751,6.0,0.0
179407,5782,5.0,0.5
102610,35108,11.0,0.0
102610,13176,5.0,0.0
102610,27086,2.0,0.5
192724,16953,5.0,0.0
192724,46842,5.0,0.0
199902,21333,2.0,-2.5
22754,28427,2.0,0.5
55526,42828,4.0,1.0
122100,5077,3.0,0.0
122100,329,6.0,0.0
105729,32691,8.0,0.0
105729,5782,5.0,0.5
185608,39108,4.0,0.0
185608,28427,2.0,0.5
54542,38689,2.0,-1.5
123160,26209,2.0,-0.5
123160,17794,4.0,0.0
123160,31506,2.0,0.5
123160,33731,9.0,-0.5
123160,2086,26.0,0.0
123160,35561,33.0,-3.5
123160,47209,7.0,0.0
169250,46842,2.0,0.5
179493,27796,6.0,0.0
179493,20955,8.0,0.0
177459,27344,17.0,0.0
95546,42736,48.0,-1.0
95546,31506,2.0,0.5
95546,16953,8.0,-1.0
146745,28842,3.0,-2.0
52551,33120,2.0,0.5
78152,35561,2.0,0.5
58702,40709,2.0,0.5
119119,10673,6.0,0.0
119119,19348,7.0,0.0
119119,24184,6.0,0.0
125264,21333,4.0,0.0
17749,21137,3.0,-1.0
17749,25659,4.0,0.0
41305,5077,301.0,0.0
123233,5077,2.0,-0.5
123233,38444,2.0,-0.5
173410,10673,5.0,0.0
111991,33000,4.0,0.0
111991,21195,8.0,0.0
28040,39108,11.0,-1.0
28040,16953,3.0,0.0
38295,5077,11.0,0.0
162204,40332,6.0,0.0
157103,10673,8.0,-1.0
157103,23909,8.0,-4.0
194991,27796,8.0,0.0
194991,7751,5.0,0.0
194991,25146,3.0,0.0
194991,41131,9.0,-2.0
194991,26604,3.0,0.0
194991,48205,3.0,0.0
90542,48205,5.0,0.0
192948,36316,2.0,0.5
107961,11422,3.0,0.0
145848,9076,6.0,1.5
145848,23734,5.0,0.0
145848,43352,7.0,1.0
145848,46842,10.0,0.0
145848,16797,4.0,1.0
144847,32655,8.0,0.0
183757,31981,3.0,0.0
201171,42828,2.0,-0.5
57817,27796,15.0,0.0
57817,5077,47.0,3.0
57817,16953,104.0,-1.0
57817,32478,68.0,3.5
192994,46842,4.0,0.0
44513,16797,4.0,0.0
54768,1463,3.0,0.0
54768,35951,3.0,0.0
79346,9076,4.0,0.0
79346,5782,41.0,0.5
79346,7751,4.0,1.0
150001,7751,6.0,0.0
188925,21019,6.0,0.0
25095,27845,11.0,-1.0
25095,36011,10.0,0.0
192015,30233,33.0,0.0
183828,35042,11.0,0.5
183828,5077,8.0,0.0
183828,28842,8.0,3.5
183828,40332,6.0,-1.0
183828,4605,4.0,0.0
137754,48205,5.0,0.0
40476,4210,117.0,0.5
40476,27796,9.0,0.0
40476,4605,32.0,0.0
85533,4210,13.0,-1.5
85533,23909,3.0,-2.0
85533,7751,9.0,0.0
85533,39581,5.0,-1.0
79390,43789,4.0,-1.0
64059,31506,4.0,0.0
64059,28199,2.0,0.5
199245,27796,6.0,0.0
199245,1940,5.0,0.5
148050,1463,28.0,0.0
148050,5785,8.0,0.0
176721,33198,8.0,-1.0
87636,39108,2.0,0.5
154209,27344,2.0,-0.5
154209,47209,21.0,-2.0
154209,36011,3.0,-2.0
169579,8193,27.0,3.5
169579,23909,19.0,0.5
169579,21333,3.0,0.0
169579,16185,49.0,0.5
169579,16953,15.0,0.5
169579,44799,12.0,0.0
28270,28199,5.0,0.0
28270,16953,4.0,0.0
119425,49235,12.0,0.0
119425,5077,11.0,0.0
119425,30233,3.0,-1.0
90762,16953,8.0,-1.5
90762,46842,10.0,0.0
86668,9839,2.0,0.5
134803,38689,3.0,-1.0
134803,35042,3.0,-1.0
134803,24852,4.0,0.0
134803,42265,2.0,0.5
32412,46842,8.0,0.0
2735,31506,7.0,0.0
2735,20114,3.0,0.0
2735,9076,8.0,0.0
2735,7751,6.0,0.0
