user_id,y,support,occurrences_left
138254,41131,130.0,-1.0
123936,46088,102.0,-2.0
123936,33065,69.0,-2.0
123936,41131,71.0,-4.0
123936,38444,44.0,0.0
136234,33065,109.0,-1.0
136234,38444,30.0,0.0
160816,2120,16.0,0.0
160816,44632,6.0,0.0
160816,21709,3.0,0.0
7257,33065,39.0,-1.0
7257,41131,41.0,0.0
85086,46088,31.0,0.0
103525,46088,71.0,0.0
103525,33065,30.0,0.0
56444,16696,4.0,0.0
56444,36316,3.0,0.0
56444,10957,11.0,0.0
59536,45190,80.0,0.0
24735,41131,130.0,0.0
125091,43154,4.0,0.0
64685,16696,4.0,0.0
67785,46088,71.0,0.0
67785,41131,71.0,0.0
114985,46088,57.0,0.0
114985,33065,2.0,-0.5
173357,46088,71.0,-2.0
173357,41131,201.0,-2.0
172389,24852,5.0,0.5
189803,2120,25.0,0.0
189803,41131,30.0,0.0
5504,45190,88.0,-2.0
5504,46088,185.0,-2.0
100743,2120,31.0,0.0
102795,38444,17.0,0.0
102828,45190,80.0,0.0
121276,46088,5.0,-1.0
185789,47141,4.0,0.0
185789,46088,76.0,0.0
199109,46088,26.0,0.0
199109,41131,30.0,0.0
164298,46088,6.0,0.0
164298,10957,6.0,0.0
31265,2120,37.0,0.0
31265,21709,4.0,-1.0
110150,46088,71.0,0.0
110150,41131,71.0,0.0
110150,38444,25.0,0.0
140937,2120,158.0,-2.0
67223,36316,3.0,0.0
61100,46088,62.0,-2.0
61100,33065,58.0,-2.0
61100,38444,49.0,-2.0
187061,2120,158.0,-12.0
187061,38444,17.0,-4.0
26317,46088,31.0,0.0
26317,2120,31.0,0.0
26317,41131,41.0,0.0
130773,33065,69.0,0.0
130773,38444,44.0,0.0
70369,46088,57.0,-1.0
70369,33065,30.0,0.0
68345,46088,176.0,-3.0
61185,45190,80.0,-1.0
61185,2120,168.0,-2.0
61185,41131,38.0,-2.0
48940,46088,5.0,-1.0
42840,46088,71.0,0.0
42840,2120,25.0,0.0
42840,38444,25.0,0.0
21411,33065,109.0,-2.0
152546,46088,128.0,-3.0
152546,2120,77.0,-3.0
152546,33065,214.0,-4.0
152546,41131,272.0,-4.0
205816,38444,25.0,0.0
