support,max_intertime,median_intratime,median_period_occurences,num_periods,X,Y
19.0,11.0,8.0,1.0,13,21573,21573
4.0,11.0,2.0,1.0,4,30489,30489
4.0,17.5,10.5,1.0,4,40396,40396
4.0,6.0,2.5,1.0,3,22825,22825
3.0,23.0,13.0,1.0,3,38768,21573
3.0,28.0,22.5,1.0,3,21019,39877
3.0,28.0,22.5,1.0,3,21019,21019
3.0,17.5,2.0,1.0,3,35951,49235
3.0,17.5,2.5,1.0,3,35951,35951
3.0,17.5,6.0,1.0,3,27344,27344
3.0,28.0,22.5,1.0,3,39877,39877
3.0,28.0,22.5,1.0,3,39877,21019
2.0,28.0,26.0,1.5,2,21019,15290
2.0,28.0,26.0,1.5,2,39877,15290
