support,max_intertime,median_intratime,median_period_occurences,num_periods,X,Y
1883.0,8.0,6.0,1.0,1151,24852,24852
1874.0,8.0,6.0,1.0,1102,13176,13176
1374.0,13.0,7.0,1.0,745,30489,30489
1061.0,14.5,7.0,1.0,607,21903,21903
1052.0,10.5,6.0,1.0,614,47209,47209
1042.0,13.0,7.0,1.0,578,21137,21137
841.0,13.0,7.0,1.0,466,47766,47766
832.0,8.0,5.0,1.0,503,16797,16797
691.0,14.5,8.0,1.0,442,42265,42265
647.0,13.0,7.0,1.0,377,21573,21573
623.0,10.5,6.0,1.0,352,27966,27966
562.0,8.0,6.0,1.0,335,11759,11759
544.0,16.5,8.0,1.0,336,26209,26209
541.0,7.0,3.0,1.0,284,43352,43352
527.0,7.0,3.0,1.0,287,6184,6184
498.0,10.5,7.0,1.0,311,4920,4920
478.0,13.0,7.0,1.0,258,40396,40396
475.0,13.0,7.0,1.0,271,5876,5876
475.0,13.0,6.0,1.0,284,47209,13176
458.0,13.0,7.0,1.0,261,13176,47209
429.0,14.5,7.0,1.0,263,40706,40706
410.0,14.5,7.0,1.0,229,35561,35561
390.0,14.5,7.5,1.0,241,45007,45007
388.0,13.0,7.0,1.0,207,19057,19057
384.0,13.0,7.0,1.0,238,39275,39275
377.0,14.5,7.0,1.0,236,24852,30489
375.0,13.0,7.0,1.0,210,13176 47209,13176
375.0,10.5,7.0,1.0,234,30391,30391
374.0,10.5,7.0,1.0,227,13176,13176 47209
374.0,14.5,7.0,1.0,246,13176,21137
373.0,14.5,8.0,1.0,217,22935,22935
372.0,16.5,8.0,1.0,239,47626,47626
371.0,14.5,8.0,1.0,221,27344,27344
369.0,13.0,7.0,1.0,238,21903,13176
369.0,10.5,6.0,1.0,225,47209,13176 47209
369.0,13.0,7.0,1.0,218,12341,12341
367.0,14.5,7.0,1.0,235,21137,13176
367.0,14.5,7.0,1.0,240,13176,21903
365.0,16.5,7.0,1.0,229,30489,24852
361.0,10.5,6.0,1.0,217,13176 47209,47209
357.0,8.0,6.0,1.0,218,37646,37646
337.0,14.5,8.0,1.0,192,44359,44359
335.0,10.5,7.0,1.0,196,13176 47209,13176 47209
330.0,14.5,7.0,1.0,206,30489,13176
330.0,8.0,6.0,1.0,198,26604,26604
327.0,13.0,7.0,1.0,185,45066,45066
325.0,14.5,7.0,1.0,195,13176,30489
322.0,16.5,7.0,1.0,195,47209,30489
322.0,10.5,7.0,1.0,182,8571,8571
322.0,13.0,7.0,1.0,207,43961,43961
322.0,13.0,7.0,1.0,198,8277,8277
318.0,16.5,8.0,1.0,196,30489,47209
304.0,18.5,8.0,1.0,203,24852,21903
300.0,18.5,8.0,1.0,187,21616,21616
296.0,14.5,8.0,1.0,193,49683,49683
294.0,13.0,7.0,1.0,177,24852,24852 30489
293.0,14.5,7.0,1.0,201,21903,24852
291.0,13.0,7.0,1.0,183,28204,28204
288.0,13.0,7.0,1.0,175,24852 30489,24852
286.0,14.5,7.0,1.0,173,30489,24852 30489
284.0,14.5,7.0,1.0,187,24852,21137
282.0,8.0,5.0,1.0,168,37687,37687
280.0,21.0,10.0,1.0,184,24964,24964
279.0,13.0,7.0,1.0,167,24852 30489,30489
278.0,16.5,7.0,1.0,182,21137,24852
272.0,14.5,7.5,1.0,183,47766,24852
271.0,13.0,7.0,1.0,167,13176,27966
269.0,16.5,7.0,1.0,171,21573,11759
266.0,13.0,6.0,1.0,165,27966,13176
265.0,7.0,4.0,1.0,140,31651,31651
264.0,14.5,7.0,1.0,161,13176,13176 21137
263.0,10.5,7.0,1.0,167,21019,21019
262.0,22.5,7.0,1.0,179,47209,21903
259.0,13.0,7.0,1.0,154,13176,13176 21903
257.0,10.5,6.5,1.0,160,13176 21903,13176
255.0,10.5,6.0,1.0,150,8048,8048
255.0,18.5,7.0,1.0,159,11759,21573
254.0,14.5,7.0,1.0,156,28985,28985
254.0,13.0,7.0,1.0,173,24852,47766
254.0,13.0,7.0,1.0,153,30489,13176 30489
252.0,13.0,7.0,1.0,146,24852 30489,24852 30489
249.0,13.0,7.0,1.0,148,13176 30489,30489
248.0,13.0,7.0,1.0,148,13176 30489,13176
247.0,18.5,8.0,1.0,163,47209,5876
247.0,13.0,7.0,1.0,149,13176,13176 30489
247.0,13.0,7.0,1.0,149,13176 21137,13176
246.0,21.0,7.0,1.0,174,21137,21903
246.0,14.5,8.0,1.0,157,46979,46979
245.0,14.5,7.0,1.0,172,47766,21903
244.0,18.5,8.0,1.0,160,5876,47209
243.0,10.5,7.0,1.0,156,21903,13176 21903
243.0,21.0,7.0,1.0,169,21903,21137
243.0,7.0,4.0,1.0,143,22963,22963
243.0,10.5,7.0,1.0,153,13176 21903,21903
242.0,14.5,7.0,1.0,144,21137,13176 21137
242.0,18.5,7.0,1.0,171,47209,21137
241.0,21.0,7.0,1.0,157,21137,47209
240.0,7.0,3.0,1.0,137,9076,9076
240.0,13.0,7.0,1.0,144,13176 21137,21137
239.0,22.5,9.0,1.0,161,30489,42265
238.0,24.5,9.0,1.0,158,42265,30489
232.0,14.5,7.0,1.0,154,8518,8518
231.0,10.5,7.0,1.0,151,41950,41950
230.0,21.0,7.0,1.0,154,21903,47209
230.0,14.5,6.0,1.0,128,11759,6184
229.0,13.0,5.0,1.0,139,6184,11759
229.0,16.5,7.0,1.0,153,47766,30489
227.0,14.5,7.0,1.0,146,21137,27966
227.0,13.0,7.0,1.0,140,30489,5876
227.0,7.0,3.0,1.0,129,16797,43352
226.0,21.0,9.0,1.0,137,27104,27104
225.0,16.5,7.0,1.0,146,21903,47766
224.0,13.0,7.0,1.0,137,5876,30489
223.0,10.5,6.0,1.0,139,13176 27966,13176
221.0,16.5,8.0,1.0,141,24852,24852 21903
221.0,13.0,7.0,1.0,127,13176 30489,13176 30489
221.0,8.0,6.0,1.0,127,24838,24838
220.0,18.5,8.0,1.0,147,47209,27966
220.0,14.5,7.0,1.0,141,17794,17794
220.0,7.0,2.0,1.0,124,43352,16797
220.0,14.5,8.0,1.0,138,24184,24184
219.0,13.0,7.0,1.0,126,13176,13176 27966
218.0,16.5,7.0,1.0,144,30489,47766
216.0,14.5,7.0,1.0,138,24852 21903,24852
216.0,22.5,8.0,1.0,153,42265,13176
215.0,14.5,7.0,1.0,149,27966,21137
215.0,13.0,7.0,1.0,125,13176 21137,13176 21137
214.0,22.5,8.5,1.0,154,13176,42265
214.0,8.0,6.0,1.0,135,13176 21903,13176 21903
211.0,18.5,10.0,1.0,136,42585,42585
210.0,13.0,7.0,1.0,122,46906,46906
206.0,10.5,7.0,1.0,125,27966,13176 27966
206.0,10.5,7.0,1.0,130,22825,22825
206.0,16.5,7.0,1.0,141,13176,5876
205.0,13.0,7.0,1.0,133,24852 47766,24852
205.0,8.0,6.0,1.0,131,10749,10749
205.0,10.5,6.5,1.0,124,13176 27966,27966
